CYLINDER						
a (deg)	CL	CD	CM	CL	CD	CM
14.50	0.000	0.600	0.000	0.000	0.600	0.000
15.00	0.000	0.600	0.000	0.000	0.600	0.000
15.50	0.000	0.600	0.000	0.000	0.600	0.000
16.50	0.000	0.600	0.000	0.000	0.600	0.000
17.00	0.000	0.600	0.000	0.000	0.600	0.000
17.50	0.000	0.600	0.000	0.000	0.600	0.000
18.00	0.000	0.600	0.000	0.000	0.600	0.000
18.50	0.000	0.600	0.000	0.000	0.600	0.000
19.00	0.000	0.600	0.000	0.000	0.600	0.000
19.50	0.000	0.600	0.000	0.000	0.600	0.000
20.00	0.000	0.600	0.000	0.000	0.600	0.000
23.00	0.000	0.600	0.000	0.000	0.600	0.000
24.00	0.000	0.600	0.000	0.000	0.600	0.000
26.00	0.000	0.600	0.000	0.000	0.600	0.000
28.00	0.000	0.600	0.000	0.000	0.600	0.000
30.00	0.000	0.600	0.000	0.000	0.600	0.000
32.00	0.000	0.600	0.000	0.000	0.600	0.000
34.00	0.000	0.600	0.000	0.000	0.600	0.000
36.00	0.000	0.600	0.000	0.000	0.600	0.000
38.00	0.000	0.600	0.000	0.000	0.600	0.000
40.00	0.000	0.600	0.000	0.000	0.600	0.000
44.00	0.000	0.600	0.000	0.000	0.600	0.000
48.00	0.000	0.600	0.000	0.000	0.600	0.000
52.00	0.000	0.600	0.000	0.000	0.600	0.000
56.00	0.000	0.600	0.000	0.000	0.600	0.000
60.00	0.000	0.600	0.000	0.000	0.600	0.000
64.00	0.000	0.600	0.000	0.000	0.600	0.000
68.00	0.000	0.600	0.000	0.000	0.600	0.000
72.00	0.000	0.600	0.000	0.000	0.600	0.000
76.00	0.000	0.600	0.000	0.000	0.600	0.000
80.00	0.000	0.600	0.000	0.000	0.600	0.000
84.00	0.000	0.600	0.000	0.000	0.600	0.000
92.00	0.000	0.600	0.000	0.000	0.600	0.000
100.00	0.000	0.600	0.000	0.000	0.600	0.000
108.00	0.000	0.600	0.000	0.000	0.600	0.000
116.00	0.000	0.600	0.000	0.000	0.600	0.000
120.00	0.000	0.600	0.000	0.000	0.600	0.000
124.00	0.000	0.600	0.000	0.000	0.600	0.000
128.00	0.000	0.600	0.000	0.000	0.600	0.000
132.00	0.000	0.600	0.000	0.000	0.600	0.000
136.00	0.000	0.600	0.000	0.000	0.600	0.000
140.00	0.000	0.600	0.000	0.000	0.600	0.000
144.00	0.000	0.600	0.000	0.000	0.600	0.000
148.00	0.000	0.600	0.000	0.000	0.600	0.000
150.00	0.000	0.600	0.000	0.000	0.600	0.000
152.00	0.000	0.600	0.000	0.000	0.600	0.000
154.00	0.000	0.600	0.000	0.000	0.600	0.000
156.00	0.000	0.600	0.000	0.000	0.600	0.000
158.00	0.000	0.600	0.000	0.000	0.600	0.000
159.00	0.000	0.600	0.000	0.000	0.600	0.000
160.00	0.000	0.600	0.000	0.000	0.600	0.000
161.00	0.000	0.600	0.000	0.000	0.600	0.000
162.00	0.000	0.600	0.000	0.000	0.600	0.000
163.00	0.000	0.600	0.000	0.000	0.600	0.000
164.00	0.000	0.600	0.000	0.000	0.600	0.000
165.00	0.000	0.600	0.000	0.000	0.600	0.000
166.00	0.000	0.600	0.000	0.000	0.600	0.000
167.00	0.000	0.600	0.000	0.000	0.600	0.000
168.00	0.000	0.600	0.000	0.000	0.600	0.000
169.00	0.000	0.600	0.000	0.000	0.600	0.000
170.00	0.000	0.600	0.000	0.000	0.600	0.000
172.00	0.000	0.600	0.000	0.000	0.600	0.000
173.00	0.000	0.600	0.000	0.000	0.600	0.000
174.00	0.000	0.600	0.000	0.000	0.600	0.000
175.00	0.000	0.600	0.000	0.000	0.600	0.000
176.00	0.000	0.600	0.000	0.000	0.600	0.000
177.00	0.000	0.600	0.000	0.000	0.600	0.000
